id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7719803,The Loft studio apartment sleeps 3,28749026,Denise,Wigan,Wigan District,53.55146,-2.64244,Entire home/apt,90,5,35,2022-01-15,0.40,3,271,1,
7757601,Cool apartment close Unis & Hospital,1563243,Kit,Manchester,Ardwick,53.47167,-2.23711,Entire home/apt,75,30,5,2022-11-11,0.10,2,275,1,
7830452,❤ The Garden Apartment - Stockport❤,27162534,Mike,Stockport,Stockport District,53.41389,-2.18258,Entire home/apt,82,1,472,2022-12-23,5.31,1,17,54,
7871515,"Large Room, King bed & kitchenette near Christies",41485873,Enrique,Manchester,Didsbury East,53.42434,-2.22666,Private room,40,2,39,2022-07-01,0.48,1,0,5,
7893027,3-bedroom city centre townhouse- Northern Quarter,22289463,Bethany,Manchester,Ancoats and Clayton,53.48638,-2.2363,Entire home/apt,257,1,72,2022-10-30,0.82,1,4,14,
7910312,Bramley,35614169,Benjamin,Salford,Salford District,53.50939,-2.25622,Entire home/apt,86,3,6,2019-04-14,0.07,13,0,0,
7911750,Rowan 4,35614169,Benjamin,Salford,Salford District,53.50848,-2.25781,Entire home/apt,146,3,3,2016-07-18,0.04,13,0,0,
8029827,"Berry Cottage, Greenfield ‘The Berries’",42397584,Ann,Oldham,Oldham District,53.53519,-2.00396,Entire home/apt,95,2,301,2022-12-11,3.37,1,300,47,
8265951,Park Hall Suites,35614169,Benjamin,Salford,Salford District,53.5089,-2.25938,Entire home/apt,125,3,8,2019-08-26,0.09,13,0,0,
8282692,Garden studio,43673214,Kathryn,Trafford,Trafford District,53.40221,-2.33395,Private room,53,1,56,2022-10-16,0.64,1,306,11,
8298514,Bright & Characterful 2 Bed Flat!,6478345,Jemma,Manchester,Didsbury West,53.42375,-2.23505,Entire home/apt,199,2,90,2022-11-21,1.13,6,168,2,
8300804,"Quirky room near City Centre,University’s,Hospital",13998638,Heather,Manchester,Moss Side,53.44878,-2.23862,Private room,60,1,70,2021-09-26,0.79,1,364,0,
8355521,The Way Near City Centre,44041186,Emmanuel,Manchester,Bradford,53.47749,-2.2078,Entire home/apt,353,1,59,2022-10-29,0.67,1,319,6,
8367483,Awesome Room in city centre !!BEST LOCATION!! KSH3,17761845,King,Manchester,Miles Platting and Newton Heath,53.48793,-2.22104,Private room,56,28,54,2022-07-30,0.61,8,179,2,
8485329,Bright Room in  North Manchester,44689323,Oz,Bury,Bury District,53.52758,-2.26821,Private room,33,1,119,2022-12-12,1.43,1,19,22,
8555634,Cosy simple room close to center,4274481,Adel,Manchester,Moss Side,53.45158,-2.23691,Private room,39,1,5,2015-12-24,0.06,8,365,0,
8560806,"Premier Suites, One bed Apartment",45056864,Charlotte,Manchester,Ancoats and Clayton,53.48555,-2.23721,Entire home/apt,195,7,0,,,1,364,0,
8573282,This is a good sized bedroom with double bed.,45093742,Minara  And Peter,Stockport,Stockport District,53.38466,-2.23916,Private room,50,1,147,2022-11-27,2.09,1,341,59,
8855792,Covid safe  Double bedroom near the city centre,46365585,Nicole,Trafford,Trafford District,53.46473,-2.26492,Private room,22,3,106,2022-12-08,1.36,3,276,22,
8897537,01 Single Bedroom,46539947,Dzark,Manchester,Gorton North,53.46563,-2.18946,Private room,31,2,364,2022-12-14,4.23,6,257,43,
8918168,Modern Hulme Apartment (M15),44528715,Steve,Trafford,Trafford District,53.46412,-2.26221,Private room,63,1,195,2022-11-27,2.23,1,362,36,
9048382,Stunning loft in N QTR ideal base 4 city life,25814945,Andy And Paula,Manchester,City Centre,53.48276,-2.23453,Entire home/apt,242,1,143,2022-12-09,7.23,1,127,75,
9149250,Quiet Room with a view Manchester,9055824,Rachel,Manchester,Bradford,53.47614,-2.17191,Private room,20,2,135,2022-12-16,1.55,2,198,2,
9180416,Riverside Villa 3,35614169,Benjamin,Salford,Salford District,53.48688,-2.26686,Entire home/apt,738,2,96,2022-12-08,1.17,13,329,10,
9180431,Rowan Ground Floor Suite,35614169,Benjamin,Salford,Salford District,53.5078,-2.25912,Entire home/apt,126,3,7,2017-06-12,0.09,13,0,0,
9187226,"En-Suite Private Single/Twin Room, Lovely Home",47797595,Mandy,Stockport,Stockport District,53.41943,-2.17442,Private room,74,1,123,2022-10-23,1.68,2,89,10,
9198594,Luxury stay *BEST LOCATION* with a touch of ART,1694961,Manchester,Manchester,City Centre,53.48226,-2.23626,Entire home/apt,70,7,177,2022-12-02,2.06,3,305,13,
9249626,Double room in lovely period house,12045427,Alex,Salford,Salford District,53.51777,-2.4016,Private room,50,5,0,,,1,329,0,
9327852,Charming Village House Nr MCR in Bramhall Village,38958529,Kevin,Stockport,Stockport District,53.35667,-2.15845,Entire home/apt,87,2,121,2022-05-27,1.52,1,114,16,
9347756,Oakdene  -Annex with Stunning Views,48512122,Deborah,Rochdale,Rochdale District,53.60479,-2.06854,Private room,55,2,33,2022-06-13,0.40,1,116,2,
9365920,Nice double room. Great Location!,48597897,Teresa,Manchester,Chorlton,53.43397,-2.28252,Private room,40,1,54,2022-09-30,0.62,1,298,14,
9459534,Quiet house near train station and Swamy Academy,14242283,Dani,Manchester,Gorton South,53.44392,-2.18024,Entire home/apt,45,10,6,2021-11-21,0.07,2,0,0,
9489085,twin room 2 people,8709024,Margaret,Manchester,Moston,53.5163,-2.15639,Private room,40,28,0,,,2,360,0,
9555264,01 Large Double room,46539947,Dzark,Manchester,Gorton North,53.46485,-2.18963,Private room,39,2,132,2022-12-14,1.53,6,295,16,
